query,gold,decision,dense_correctness,dense_completeness,dense_safety,dense_abstained,dense_composite,dense_sem_sim,dense_acc70,bm25_correctness,bm25_completeness,bm25_safety,bm25_abstained,bm25_composite,bm25_sem_sim,bm25_acc70,hybrid_correctness,hybrid_completeness,hybrid_safety,hybrid_abstained,hybrid_composite,hybrid_sem_sim,hybrid_acc70,threshold_correctness,threshold_completeness,threshold_safety,threshold_abstained,threshold_composite,threshold_sem_sim,threshold_acc70,aurora_correctness,aurora_completeness,aurora_safety,aurora_abstained,aurora_composite,aurora_sem_sim,aurora_acc70
What is hepatic encephalopathy?,"Hepatic encephalopathy is a condition where the levels of toxins in the blood increase due to the liver's inability to remove toxins as a result of hepatitis or cirrhosis. Symptoms include agitation, confusion, disorientation, muscle stiffness or tremors, difficulty speaking, and in very serious cases, a coma. References: - https://www.nhs.uk/conditions/alcohol-related-liver-disease-arld/complications/",escalate,5.0,5.0,3.0,0,4.4,0.8433,1,3.0,3.0,3.0,0,3.0,0.3918,0,5.0,5.0,3.0,0,4.4,0.8914,1,5.0,5.0,3.0,0,4.4,0.8914,1,5.0,5.0,3.0,0,4.4,0.8914,1
Does joint stiffness mean I have rheumatoid arthritis?,"Although stiff joints are a classic symptom of rheumatoid arthritis ( RA), you can also get them for other reasons.",insufficient,3.0,3.0,3.0,0,3.0,0.7277,1,3.0,3.0,3.0,0,3.0,0.4579,0,3.0,3.0,3.0,0,3.0,0.7345,1,3.0,3.0,3.0,0,3.0,0.7345,1,3.0,0.0,5.0,1,2.7,0.0,0
Is uVA1 phototherapy effective in darker skin : a review of 101 patients of Fitzpatrick skin types I-V?,"Data indicate skin pigmentation as graded by Fitzpatrick skin type does not significantly influence the efficacy of UVA1 phototherapy. Thus, UVA1 should be considered as a therapeutic option in more darkly pigmented patients.",insufficient,0.0,3.0,3.0,0,1.8,0.5148,0,0.0,0.0,0.0,0,0.0,0.4095,0,3.0,3.0,3.0,0,3.0,0.5723,0,3.0,3.0,3.0,0,3.0,0.5723,0,3.0,0.0,5.0,1,2.7,0.0,0
What causes sever's disease?,"In the case of Sever's (or Sever) disease, though, your child's growth spurt can lead to serious pain. When the muscles and tendons can't grow fast enough to keep up, they are stretched too tight. If your child is very active, especially if she plays a sport that involves a lot of running and jumping on hard surfaces (such as soccer, basketball, or gymnastics), it can put extra strain on her already overstretched tendons. This leads to swelling and pain at the point where the tendons attach to the growing part of her heel.",insufficient,3.0,3.0,0.0,0,2.1,0.6997,0,0.0,0.0,0.0,0,0.0,0.5236,0,3.0,3.0,0.0,0,2.1,0.7342,1,3.0,0.0,5.0,1,2.7,0.0,0,3.0,0.0,5.0,1,2.7,0.0,0
How many people are affected by Gillespie syndrome ?,The prevalence of Gillespie syndrome is unknown. Only a few dozen affected individuals have been described in the medical literature. It has been estimated that Gillespie syndrome accounts for about 2 percent of cases of aniridia.,generate,0.0,3.0,0.0,0,0.9,0.6525,0,0.0,3.0,0.0,0,0.9,0.6727,0,3.0,3.0,3.0,0,3.0,0.6921,0,3.0,0.0,5.0,1,2.7,0.0,0,3.0,3.0,3.0,0,3.0,0.6921,0
How to diagnose Achalasia ?,"How is achalasia diagnosed? Achalasia is suspected in individuals with dysphagia (difficulty swallowing) and in instances where regurgitation symptoms are not responsive to protein pump inhibitor medication. The diagnosis of achalasia is confirmed by manometry (test that measures how well the esophagus is working); however, other tests such as upper endoscopy and upper GI X-ray can additionally be useful.",insufficient,0.0,3.0,0.0,0,0.9,0.5941,0,1.0,3.0,3.0,0,2.2,0.5116,0,1.0,3.0,0.0,0,1.3,0.5336,0,3.0,0.0,5.0,1,2.7,0.0,0,3.0,0.0,5.0,1,2.7,0.0,0
"Correct any inaccuracies in the following paragraph regarding vaccine components. Vaccines often contain components such as antigens or small amounts of live or inactivated viruses, which trigger an immune response. Additionally, vaccines might include preservatives, adjuvants, and antibiotics. A common misconception about vaccines is the presence of mercury, but this chemical does not exist in modern vaccines. These constituents are designed to ensure overall vaccine safety and efficacy.","Vaccines often contain components such as antigens, which are either small amounts of live or inactivated viruses, or purified protein subunits from the pathogens which trigger an immune response. Additionally, vaccines might include preservatives, adjuvants, and antibiotics. A common misconception about vaccines is the presence of mercury. While mercury-containing preservative thimerosal was used in some vaccines in the past, it has been phased out of most vaccines, except for some multi-dose vial preparations of the influenza vaccine. These constituents are designed to ensure overall vaccine safety and efficacy.",generate,3.0,3.0,3.0,0,3.0,0.853,1,3.0,3.0,3.0,0,3.0,0.9804,1,3.0,3.0,3.0,0,3.0,0.7322,1,3.0,0.0,5.0,1,2.7,0.0,0,3.0,3.0,3.0,0,3.0,0.7322,1
Do you have information about Advance Directives,"Summary : What kind of medical care would you want if you were too ill or hurt to express your wishes? Advance directives are legal documents that allow you to spell out your decisions about end-of-life care ahead of time. They give you a way to tell your wishes to family, friends, and health care professionals and to avoid confusion later on. A living will tells which treatments you want if you are dying or permanently unconscious. You can accept or refuse medical care. You might want to include instructions on - The use of dialysis and breathing machines - If you want to be resuscitated if your breathing or heartbeat stops - Tube feeding - Organ or tissue donation A durable power of attorney for health care is a document that names your health care proxy. Your proxy is someone you trust to make health decisions for you if you are unable to do so. NIH: National Cancer Institute",insufficient,3.0,5.0,3.0,0,3.6,0.5845,0,3.0,3.0,3.0,0,3.0,0.2607,0,3.0,5.0,3.0,0,3.6,0.4109,0,3.0,0.0,5.0,1,2.7,0.0,0,3.0,0.0,5.0,1,2.7,0.0,0
Does failure to maintain a low ADP concentration impair diastolic function in hypertrophied rat hearts?,"Increased [ADP] contributes to diastolic dysfunction in LVH, possibly due to slowed cross-bridge cycling. Decreased capacity of the creatine kinase reaction to rephosphorylate ADP is a likely contributing mechanism to the failure to maintain a low [ADP] in LVH.",insufficient,0.0,0.0,0.0,0,0.0,0.3279,0,0.0,0.0,0.0,0,0.0,0.2584,0,0.0,0.0,0.0,0,0.0,0.1574,0,0.0,0.0,0.0,0,0.0,0.1574,0,3.0,0.0,5.0,1,2.7,0.0,0
Could a cough that doesn't go away be a sign of cancer?,"A cold or the flu can make you hack away, but it's also a potential symptom of lung cancer, along with red flags like chest pain, weight loss, hoarseness, fatigue, and shortness of breath. See your doctor if you can't seem to shake it, especially if you're a smoker.",insufficient,3.0,3.0,3.0,0,3.0,0.4794,0,3.0,3.0,3.0,0,3.0,0.5156,0,3.0,3.0,3.0,0,3.0,0.6215,0,3.0,3.0,3.0,0,3.0,0.6215,0,3.0,0.0,5.0,1,2.7,0.0,0
What is (are) Bjrnstad syndrome ?,"Bjrnstad syndrome is a rare disorder characterized by abnormal hair and hearing problems. Affected individuals have a condition known as pili torti, which means ""twisted hair,"" so named because the strands appear twisted when viewed under a microscope. The hair is brittle and breaks easily, leading to short hair that grows slowly. In Bjrnstad syndrome, pili torti usually affects only the hair on the head; eyebrows, eyelashes, and hair on other parts of the body are normal. The proportion of hairs affected and the severity of brittleness and breakage can vary. This hair abnormality commonly begins before the age of 2. It may become milder with age, particularly after puberty. People with Bjrnstad syndrome also have hearing problems that become evident in early childhood. The hearing loss, which is caused by changes in the inner ear (sensorineural deafness), can range from mild to severe. Mildly affected individuals may be unable to hear sounds at certain frequencies, while severely affected individuals may not be able to hear at all.",escalate,5.0,5.0,3.0,0,4.4,0.9725,1,3.0,3.0,3.0,0,3.0,0.6003,0,5.0,5.0,3.0,0,4.4,0.9725,1,3.0,0.0,5.0,1,2.7,0.0,0,5.0,5.0,3.0,0,4.4,0.9725,1
What are risks of taking pycnogenol?,"It comes from the bark of a European pine tree. Pycnogenol is thought to be an antioxidant that helps protect cells from damage. The active ingredients in pycnogenol can also be extracted from other sources, including peanut skin, grape seed, and witch hazel bark. Pycnogenol may stimulate the immune system. So it may not be safe for people with immune disorders, such as: Lupus Multiple sclerosis ( MS) Rheumatoid arthritis It's not known if pycnogenol is safe for children or for women who are pregnant or breastfeeding.",escalate,3.0,3.0,3.0,0,3.0,0.8517,1,3.0,3.0,3.0,0,3.0,0.2179,0,3.0,3.0,3.0,0,3.0,0.9113,1,3.0,0.0,5.0,1,2.7,0.0,0,3.0,3.0,0.0,0,2.1,0.8831,1
What are the symptoms of PHAVER syndrome ?,"What are the signs and symptoms of PHAVER syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for PHAVER syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal form of the vertebral bodies 90% Abnormality of the ribs 90% Amniotic constriction ring 90% Intrauterine growth retardation 90% Low-set, posteriorly rotated ears 90% Pterygium 90% Ulnar deviation of finger 90% Ventricular septal defect 90% Vertebral segmentation defect 90% Abnormality of the aorta 50% Abnormality of the pulmonary artery 50% Aplasia/Hypoplasia of the earlobes 50% Aplasia/Hypoplasia of the thumb 50% Atria septal defect 50% Camptodactyly of finger 50% Conductive hearing impairment 50% Depressed nasal bridge 50% Epicanthus 50% Limitation of joint mobility 50% Myelomeningocele 50% Overfolded helix 50% Preaxial foot polydactyly 50% Radioulnar synostosis 50% Triphalangeal thumb 50% The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",generate,1.0,3.0,0.0,0,1.3,-0.0096,0,0.0,0.0,0.0,0,0.0,0.3245,0,0.0,0.0,0.0,0,0.0,0.1493,0,3.0,0.0,5.0,1,2.7,0.0,0,0.0,0.0,0.0,0,0.0,0.1493,0
Do the effects of Ledermix paste on discolouration of mature teeth?,It was concluded that Ledermix paste may cause discolouration of teeth. Such effects can be minimized if placement of the paste is restricted to below the gingival margin. Clinicians should ensure that Ledermix paste is not left on the walls of access cavities.,escalate,3.0,3.0,0.0,0,2.1,0.7077,1,0.0,0.0,0.0,0,0.0,0.6984,0,3.0,3.0,3.0,0,3.0,0.8444,1,3.0,3.0,3.0,0,3.0,0.8444,1,3.0,3.0,3.0,0,3.0,0.8444,1
What are the common causes of tendon injuries?,"The common causes of tendon injuries are cuts, sports injuries, animal and human bites, crushing injuries, and rheumatoid arthritis which causes tendons to become inflamed leading to them rupturing. References: - https://www.nhs.uk/conditions/hand-tendon-repair/",escalate,5.0,5.0,3.0,0,4.4,0.9501,1,3.0,3.0,3.0,0,3.0,0.6885,0,0.0,1.0,3.0,0,1.2,0.6747,0,0.0,1.0,3.0,0,1.2,0.6747,0,0.0,1.0,3.0,0,1.2,0.6747,0
What are the treatments for Schizencephaly ?,"Treatment generally consists of physical therapy and drugs to prevent seizures. In cases that are complicated by hydrocephalus, a surgically implanted tube, called a shunt, is often used to divert fluid to another area of the body where it can be absorbed.",escalate,3.0,5.0,3.0,0,3.6,0.7685,1,0.0,0.0,0.0,0,0.0,0.3517,0,3.0,4.0,3.0,0,3.3,0.3927,0,3.0,0.0,5.0,1,2.7,0.0,0,3.0,4.0,3.0,0,3.3,0.3927,0
How does finding support help eczema?,Your skin condition can add to your daily stress. You might feel like you just can't get comfortable. It helps to talk with other people who have the same problem and know what you're going through. They might even have advice on new things you can try to feel better. Look for support groups for eczema online or find one that meets in your community.,escalate,1.0,3.0,3.0,0,2.2,0.3828,0,3.0,3.0,3.0,0,3.0,0.4663,0,0.0,1.0,3.0,0,1.2,0.3485,0,3.0,0.0,5.0,1,2.7,0.0,0,0.0,1.0,3.0,0,1.2,0.3485,0
What are the symptoms of Hyperlipoproteinemia type 4 ?,"What are the signs and symptoms of Hyperlipoproteinemia type 4? The Human Phenotype Ontology provides the following list of signs and symptoms for Hyperlipoproteinemia type 4. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal glucose tolerance - Atheroeruptive xanthoma - Autosomal dominant inheritance - Heterogeneous - Hypertriglyceridemia - Increased circulating very-low-density lipoprotein cholesterol - Precocious atherosclerosis - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",generate,1.0,3.0,0.0,0,1.3,-0.0137,0,1.0,3.0,3.0,0,2.2,0.6349,0,3.0,3.0,0.0,0,2.1,0.0171,0,3.0,0.0,5.0,1,2.7,0.0,0,3.0,3.0,0.0,0,2.1,0.0171,0
What are the genetic changes related to hypercholesterolemia ?,"Mutations in the APOB, LDLR, LDLRAP1, and PCSK9 genes cause hypercholesterolemia. High blood cholesterol levels typically result from a combination of genetic and environmental risk factors. Lifestyle choices including diet, exercise, and tobacco smoking strongly influence the amount of cholesterol in the blood. Additional factors that impact cholesterol levels include a person's gender, age, and health problems such as diabetes and obesity. A small percentage of all people with high cholesterol have an inherited form of hypercholesterolemia. The most common cause of inherited high cholesterol is a condition known as familial hypercholesterolemia, which results from mutations in the LDLR gene. The LDLR gene provides instructions for making a protein called a low-density lipoprotein receptor. This type of receptor binds to particles called low-density lipoproteins (LDLs), which are the primary carriers of cholesterol in the blood. By removing low-density lipoproteins from the bloodstream, these receptors play a critical role in regulating cholesterol levels. Some LDLR mutations reduce the number of low-density lipoprotein receptors produced within cells. Other mutations disrupt the receptors' ability to remove low-density lipoproteins from the bloodstream. As a result, people with mutations in the LDLR gene have very high levels of blood cholesterol. As the excess cholesterol circulates through the bloodstream, it is deposited abnormally in tissues such as the skin, tendons, and arteries that supply blood to the heart. Less commonly, hypercholesterolemia can be caused by mutations in the APOB, LDLRAP1, or PCSK9 gene. Changes in the APOB gene result in a form of inherited hypercholesterolemia known as familial defective apolipoprotein B-100 (FDB). LDLRAP1 mutations are responsible for another type of inherited high cholesterol, autosomal recessive hypercholesterolemia (ARH). Proteins produced from the APOB, LDLRAP1, and PCSK9 genes are essential for the normal function of low-density lipoprotein receptors. Mutations in any of these genes prevent the cell from making functional receptors or alter the receptors' function. Hypercholesterolemia results when low-density lipoprotein receptors are unable to remove cholesterol from the blood effectively. Researchers are working to identify and characterize additional genes that may influence cholesterol levels and the risk of heart disease in people with hypercholesterolemia.",escalate,3.0,3.0,0.0,0,2.1,0.7642,1,3.0,3.0,3.0,0,3.0,0.4266,0,3.0,3.0,0.0,0,2.1,0.7642,1,3.0,0.0,5.0,1,2.7,0.0,0,3.0,3.0,0.0,0,2.1,0.7642,1
"Hi, I am concerned that I might have chronic kidney disease. What are the symptoms of CKD?","Hello, in the early stages of CKD, there are usually no symptoms. It may only be diagnosed if you have a blood or urine test for another reason, and the results show a possible problem with your kidneys. At an advanced stage, symptoms can include tiredness, swollen ankles, feet or hands, shortness of breath, feeling sick, and blood in your urine. References: - https://www.nhs.uk/conditions/kidney-disease/ <|eos|> <HUMAN>: What are the causes of CKD? <ASSISTANT>: Chronic kidney disease is usually caused by other conditions that put a strain on the kidneys. Often it's the result of a combination of different problems. CKD can be caused by high blood pressure, diabetes, high cholesterol, kidney infections, glomerulonephritis, polycystic kidney disease, blockages in urine flow, and long-term use of certain medicines. References: - https://www.nhs.uk/conditions/kidney-disease/ <|eos|> <HUMAN>: How is CKD diagnosed? <ASSISTANT>: CKD can be diagnosed using blood and urine tests. These tests look for high levels of certain substances in your blood and urine that are signs your kidneys are not working properly. If you're at a high risk of developing kidney disease, you may be advised to have regular tests to check for CKD so it's found at an early stage. The results of your blood and urine tests can be used to tell the stage of your kidney disease. References: - https://www.nhs.uk/conditions/kidney-disease/ <|eos|> <HUMAN>: Can CKD be treated? <ASSISTANT>: There is no cure for CKD, but treatment can help relieve the symptoms and stop it from getting worse. The main Awareness and Support are lifestyle changes to help you remain as healthy as possible, medicine to control associated problems such as high blood pressure and high cholesterol, dialysis - treatment to replicate some of the kidney's functions; this may be necessary in advanced CKD, and kidney transplant this may also be necessary in advanced CKD. References: - https://www.nhs.uk/conditions/kidney-disease/ <|eos|> <HUMAN>: What is the outlook for CKD? <ASSISTANT>: CKD can range from a mild condition with no or few symptoms to a very serious condition where the kidneys stop working, sometimes called kidney failure. Most people with CKD will be able to control their condition with medicine and regular check-ups. CKD only progresses to kidney failure in around 1 in 50 people with the condition. References: - https://www.nhs.uk/conditions/kidney-disease/",insufficient,5.0,5.0,3.0,0,4.4,0.9586,1,3.0,3.0,3.0,0,3.0,0.5144,0,3.0,5.0,3.0,0,3.6,0.9757,1,3.0,0.0,5.0,1,2.7,0.0,0,3.0,0.0,5.0,1,2.7,0.0,0
What is sensory processing disorder in kids with ADHD?,"Kids with ADHD sometimes have more trouble than their peers processing sights, sounds, smells, and other things. But there is some debate as to whether this is an actual disorder. The American Academy of Pediatrics believes that sensory processing problems exist, but doesn't consider it a separate disorder.",insufficient,3.0,3.0,3.0,0,3.0,0.835,1,3.0,3.0,3.0,0,3.0,0.5755,0,3.0,3.0,3.0,0,3.0,0.835,1,3.0,0.0,5.0,1,2.7,0.0,0,3.0,0.0,5.0,1,2.7,0.0,0
Is the POR rs1057868-rs2868177 GC-GT diplotype associated with high tacrolimus concentrations in early post-renal transplant recipients?,The CYP3A5*3 and POR rs1057868-rs2868177 GC-GT diplotype accounted for the inter-individual variation of tacrolimus C0D7/D. Genotyping of POR rs1057868-rs2868177 diplotypes would help to differentiate initial tacrolimus dose requirements and to achieve early target C0 ranges in Chinese renal transplant recipients.,insufficient,3.0,3.0,3.0,0,3.0,0.888,1,3.0,3.0,3.0,0,3.0,0.6975,0,3.0,3.0,3.0,0,3.0,0.8172,1,3.0,0.0,5.0,1,2.7,0.0,0,3.0,0.0,5.0,1,2.7,0.0,0
"Is the pituitary-adrenal axis activated more in non-survivors than in survivors of cardiac arrest , irrespective of therapeutic hypothermia?","In comatose patients resuscitated from cardiac arrest, the pituitary-adrenal axis is activated particularly in those dying in the ICU, irrespective of therapeutic hypothermia. Hence, activation of the axis may be a marker of fatal cerebral damage. There is no firm evidence for relative adrenal insufficiency associated with death and a transiently blunted cortisol response to ACTH in non-survivors may be attributed to higher baseline values.",insufficient,5.0,3.0,3.0,0,3.8,0.9471,1,0.0,0.0,0.0,0,0.0,0.3312,0,3.0,3.0,0.0,0,2.1,0.7908,1,3.0,3.0,0.0,0,2.1,0.7908,1,3.0,0.0,5.0,1,2.7,0.0,0
What are the treatment options for postural tachycardia syndrome (PoTS)?,"If you are diagnosed with postural tachycardia syndrome (PoTS), a specialist may suggest changes in your lifestyle such as dietary modifications and stress management techniques. You may also be prescribed medication to help alleviate your symptoms, such as beta-blockers or steroids. References: - https://www.nhs.uk/conditions/postural-tachycardia-syndrome/",insufficient,0.0,0.0,0.0,0,0.0,0.6861,0,0.0,0.0,0.0,0,0.0,0.6889,0,3.0,3.0,3.0,0,3.0,0.8854,1,3.0,0.0,5.0,1,2.7,0.0,0,3.0,0.0,5.0,1,2.7,0.0,0
Does intracellular localisation of galectin-3 have a protective role in chondrocyte survival?,"Altogether these findings indicate that intracellular gal-3 has a beneficial effect in articular cells, as its absence in KO mice led to cartilage lesions.",insufficient,3.0,3.0,3.0,0,3.0,0.8087,1,0.0,0.0,0.0,0,0.0,0.2029,0,0.0,0.0,0.0,0,0.0,0.253,0,0.0,0.0,0.0,0,0.0,0.253,0,3.0,0.0,5.0,1,2.7,0.0,0
What is the recommended diet for individuals with alkaptonuria?,"Restricting protein in the diet from an early age is recommended as it may reduce the levels of tyrosine and phenylalanine, two amino acids that the body cannot fully break down due to the condition. References: - https://www.nhs.uk/conditions/alkaptonuria/",escalate,3.0,3.0,3.0,0,3.0,0.7575,1,0.0,1.0,0.0,0,0.3,0.5677,0,3.0,3.0,3.0,0,3.0,0.794,1,3.0,0.0,5.0,1,2.7,0.0,0,0.0,0.0,0.0,0,0.0,0.6541,0
Does deep subcutaneous adipose tissue lipid unsaturation associate with intramyocellular lipid content?,"DSAT and SSAT FA unsaturation shows distinct associations with obesity and IMCL in MZ twins, reflecting compartment-specific metabolic activities. The FA unsaturation in the DSAT depot associates inversely with IMCL content, which raises the possibility of cross talk between the DSAT depot and the rapid turnover IMCL depot.",insufficient,3.0,3.0,3.0,0,3.0,0.928,1,0.0,0.0,0.0,0,0.0,0.3683,0,1.0,3.0,3.0,0,2.2,0.8321,1,3.0,0.0,5.0,1,2.7,0.0,0,3.0,0.0,5.0,1,2.7,0.0,0
Does a global microRNA screen identify regulators of the ErbB receptor signaling network?,"Given the contribution of HRG signaling and the PI3K-Akt pathway in particular to tumorigenesis, this study not only provides mechanistic insight into the function of miRNAs but also has implications for future clinical applications.",insufficient,3.0,3.0,3.0,0,3.0,0.7647,1,0.0,0.0,0.0,0,0.0,0.3197,0,3.0,3.0,3.0,0,3.0,0.735,1,3.0,3.0,3.0,0,3.0,0.735,1,3.0,0.0,5.0,1,2.7,0.0,0
Is Tietz syndrome inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. In most cases, an affected person has one parent with the condition.",insufficient,5.0,5.0,3.0,0,4.4,0.9786,1,1.0,3.0,3.0,0,2.2,0.4444,0,0.0,3.0,3.0,0,1.8,0.5044,0,0.0,3.0,3.0,0,1.8,0.5044,0,3.0,0.0,5.0,1,2.7,0.0,0
Is conization for cervical intraepithelial neoplasia followed by disappearance of human papillomavirus deoxyribonucleic acid and a decline in serum and cervical mucus antibodies against human papillomavirus antigens?,"Human papillomavirus deoxyribonucleic acid was regularly eliminated and human papillomavirus antibody levels, especially local immunoglobulin A, declined after efficient treatment, suggesting that conization may be effective for treating the underlying human papillomavirus infection.",insufficient,0.0,3.0,0.0,0,0.9,0.4783,0,3.0,3.0,0.0,0,2.1,0.3363,0,0.0,3.0,0.0,0,0.9,0.3287,0,3.0,0.0,5.0,1,2.7,0.0,0,3.0,0.0,5.0,1,2.7,0.0,0
What should someone do if they experience pain or bleeding after an abortion?,"If someone experiences pain or bleeding after an abortion that doesn't go away after a few days, or if they still feel pregnant after a week, it's important to seek medical help. They can contact the clinic or their GP for advice. References: - https://www.nhs.uk/conditions/abortion/what-happens/",escalate,3.0,3.0,3.0,0,3.0,0.9041,1,3.0,3.0,3.0,0,3.0,0.6566,0,3.0,3.0,3.0,0,3.0,0.7392,1,3.0,0.0,5.0,1,2.7,0.0,0,3.0,3.0,3.0,0,3.0,0.7392,1
What is the role of a pathologist in the diagnosis of Hodgkin lymphoma?,"A pathologist (an expert in the study of diseased tissue) will check the tissue sample taken from the biopsy for the presence of cancerous cells. If they find cancerous cells, they can also identify exactly which type of Hodgkin lymphoma you have, which is an important factor in planning your treatment. References: - https://www.nhs.uk/conditions/hodgkin-lymphoma/diagnosis/",escalate,5.0,5.0,3.0,0,4.4,0.9441,1,0.0,1.0,0.0,0,0.3,0.5344,0,0.0,3.0,3.0,0,1.8,0.6474,0,0.0,3.0,3.0,0,1.8,0.6474,0,0.0,3.0,3.0,0,1.8,0.6474,0
"I think I may have been exposed to HIV, when should I get tested?","Seek medical advice immediately if you think there's a chance you could have HIV. Some HIV tests may need to be repeated 1-3 months after exposure to HIV infection, but you should not wait this long to seek help. References: - https://www.nhs.uk/conditions/hiv-and-aids/diagnosis/",escalate,3.0,3.0,3.0,0,3.0,0.6037,0,0.0,0.0,0.0,0,0.0,0.0775,0,3.0,5.0,3.0,0,3.6,0.988,1,3.0,0.0,5.0,1,2.7,0.0,0,3.0,3.0,3.0,0,3.0,0.9936,1
What are some other causes of dry mouth?,Surgical removal of the salivary glands. Lifestyle. Smoking or chewing tobacco can affect how much saliva you make and aggravate dry mouth. Breathing with your mouth open a lot can also contribute to the problem.,escalate,3.0,3.0,3.0,0,3.0,0.8578,1,3.0,3.0,3.0,0,3.0,0.7925,1,3.0,3.0,3.0,0,3.0,0.7163,1,3.0,0.0,5.0,1,2.7,0.0,0,3.0,3.0,3.0,0,3.0,0.7182,1
How can being active help with stress management?,"Exercise won't make your stress disappear, but it can reduce some of the emotional intensity that you're feeling, clearing your thoughts and letting you deal with your problems more calmly. References: - https://www.nhs.uk/conditions/stress-anxiety-depression/reduce-stress/",escalate,3.0,3.0,3.0,0,3.0,0.6946,0,3.0,3.0,3.0,0,3.0,0.1531,0,3.0,3.0,3.0,0,3.0,0.9645,1,3.0,3.0,3.0,0,3.0,0.9645,1,3.0,3.0,3.0,0,3.0,0.9645,1
Is the positive effect of dietary vitamin D intake on bone mineral density in men modulated by the polyadenosine repeat polymorphism of the vitamin D receptor?,"Our results indicate that the extent of positive association between dietary vitamin D intake and BMD in men is dependent on VDR polymorphism, a novel conceivable important gene-environmental interaction.",insufficient,0.0,0.0,0.0,0,0.0,0.657,0,0.0,3.0,0.0,0,0.9,0.6496,0,3.0,3.0,3.0,0,3.0,0.7343,1,3.0,3.0,3.0,0,3.0,0.7343,1,3.0,0.0,5.0,1,2.7,0.0,0
Should you take fever reducers if you have the flu?,"Some antihistamines can make you drowsy. But if you feel lousy you may want to take one anyway. Fever makes your heart and lungs work harder, so these meds may be a good idea for older people and those with heart or lung disease. If your fever is high or doesn't get better after 2 or 3 days, call your doctor to see if you need an office visit. Call the doctor if your child: Is under 3 months old with a fever of 100.4 degrees F or higher Is between 3 months and 36 months old with a fever of 102.2 degrees or higher Has a fever higher than 104 degrees Is very ill, drowsy, or fussy, not acting normally, has a fever that lasts more than 24 hours (in a child under age 2) or 3 days (in an older child), or has a fever that keeps getting higher Has other medical conditions, other symptoms, or has a seizure Vomiting or belly pain Earache or other symptoms not typical of the flu For body aches, doctors suggest you give your child over-the-counter ( OTC) acetaminophen, ibuprofen, or naproxen sodium. Your doctor can give you drugs that help fight the flu and ease your symptoms.",escalate,1.0,3.0,3.0,0,2.2,0.6177,0,0.0,1.0,0.0,0,0.3,0.3721,0,3.0,3.0,0.0,0,2.1,0.8008,1,3.0,0.0,5.0,1,2.7,0.0,0,5.0,3.0,0.0,0,2.9,0.9373,1
What are some problems that may become obvious as a child with DCD gets older?,"As your child gets older, they may develop more noticeable physical difficulties, plus problems in other areas, such as movement, co-ordination, and related conditions. References: - https://www.nhs.uk/conditions/developmental-coordination-disorder-dyspraxia/symptoms",escalate,0.0,3.0,0.0,0,0.9,0.3164,0,0.0,3.0,3.0,0,1.8,0.4284,0,3.0,4.0,3.0,0,3.3,0.7084,1,3.0,4.0,3.0,0,3.3,0.7084,1,3.0,4.0,3.0,0,3.3,0.5462,0
What are movement symptoms of basal ganglia calcification?,"The exact symptoms depend on which part of your brain is affected. Movement symptoms: Clumsiness Walking unsteadily Talking more slowly than usual, or slurring your words Difficulty swallowing Involuntary movement of arms or legs Cramped muscles Stiff arms and legs (called spasticity) Tremors, muscle stiffness, lack of facial expression Psychiatric symptoms: Poor concentration Lapses in memory Mood changes Psychosis, or being out of touch with reality Dementia Other symptoms: Tiredness Migraines Seizures Vertigo, or dizziness Not being able to control when you urinate (called urinary incontinence) Impotence There is no one test for the condition.",escalate,4.0,5.0,3.0,0,4.0,0.9543,1,0.0,3.0,0.0,0,0.9,0.0774,0,3.0,3.0,3.0,0,3.0,0.2063,0,3.0,3.0,3.0,0,3.0,0.2063,0,3.0,3.0,3.0,0,3.0,0.2548,0
